,timestamp,exchange eth
0,1593139069,2815801.301095414
1,1593215612,2829540.083918265
2,1593293962,2809163.5634588003
3,1593370249,2795886.914328906
4,1593447908,2787811.0116493776
5,1593525823,2807974.4814077592
6,1593603341,2815299.479492184
7,1593680244,2818229.6209874116
8,1593757042,2827866.3242492126
9,1593834050,2809328.7674063253
10,1593911012,2821353.6338443784
11,1593987995,2820270.392485068
12,1594065355,2827509.614306264
13,1594141995,2815253.4522061073
14,1594218005,2829503.627578105
15,1594295492,2920060.73504764
16,1594372470,2869905.4184117303
17,1594449684,2852376.592640975
18,1594526279,2840416.5249049854
19,1594602696,2827153.6123766867
20,1594679560,2849235.4366226885
21,1594757660,2806508.4795780983
22,1594834537,2788886.632087745
23,1594911732,2787810.988980445
24,1594988790,2813136.4523421195
25,1595065372,2811876.6920492747
26,1595142604,2803072.245377578
27,1595219228,2767172.946691102
28,1595296944,2866655.327589301
29,1595374695,2924576.169752123
30,1595452142,2929589.2525319797
31,1595528691,3044014.776276834
32,1595605221,3082977.5972058275
33,1595683023,3063164.478275496
34,1595759893,3136530.6970168347
35,1595836172,3161871.505589511
36,1595914085,3200545.313359494
37,1595990676,3157666.105918455
38,1596067093,3110415.4553302233
39,1596145214,3124567.199421756
40,1596222365,3147821.7261466356
41,1596298395,3144105.902738633
42,1596374316,3140961.672864729
43,1596452020,3123140.7968539563
44,1596529530,3164034.132758418
45,1596605730,3174966.9760715826
46,1596683397,3162826.303261576
47,1596759855,3126105.1541536083
48,1596836464,3133853.672011779
49,1596913116,3102899.7630423284
50,1596989510,3111272.740277029
51,1597066897,3085568.999042145
52,1597143923,3051391.50782675
53,1597220916,2968515.2541944715
54,1597297459,2953489.3613887154
55,1597373579,3106553.747774485
56,1597450150,3179961.2117823064
57,1597526605,3143456.3353396314
58,1597603675,3125138.574834918
59,1597681303,3127281.583498472
60,1597758407,3124710.2645035367
61,1597833599,3096033.013127683
62,1597910202,3033843.766388465
63,1597986360,3014666.4155430333
64,1598063025,2991674.572193083
65,1598140112,2993360.0624438208
66,1598215971,2970895.5357245943
67,1598292790,2985163.1548013547
68,1598369572,2980049.732870806
69,1598445937,2983680.6126983534
70,1598522474,2974024.1773335463
71,1598598165,2942881.853057618
72,1598674686,2998729.791171344
73,1598751032,3000976.7874879465
74,1598827026,2964037.26479663
75,1598903503,2964584.3550970303
76,1598979091,2902224.746778603
77,1599055398,2948397.219863464
78,1599131944,2915704.6473588627
79,1599207396,2982648.492322144
80,1599284156,2915300.5740743103
81,1599360068,2979328.714081261
82,1599435120,2941120.2976975106
83,1599512121,2930927.4720578697
84,1599588600,2922947.6451182007
85,1599665640,2889692.940281143
86,1599741949,2883177.4643955254
87,1599818116,2888831.59080654
88,1599893403,2882108.371896367
89,1599970097,2911030.858418455
90,1600046305,2933731.423694138
91,1600123631,2949950.109142761
92,1600199295,2990331.5942222034
93,1600276323,2912390.0910276147
94,1600352116,2827822.743414903
95,1600429243,2807874.6075032363
96,1600505685,2747235.241378973
97,1600581693,2732468.3692976106
98,1600657052,2718268.2243471546
99,1600733061,2728621.6104465425
100,1600810448,2749553.8044932396
101,1600886123,2743545.351095702
102,1600962523,2759766.8769694646
103,1601039460,2756735.992405438
104,1601116987,2777351.382572212
105,1601195178,2754335.6210499587
106,1601273061,2722363.362003927
107,1601350997,2693358.531327501
108,1601428534,2687713.7729727756
109,1601506530,2659055.3757837503
110,1601583889,2690298.7148930314
111,1601662128,2648985.031492945
112,1601740236,2643636.2503601434
113,1601817621,2658624.934527119
114,1601895937,2663958.489026618
115,1601972894,2662191.913576959
116,1602050904,2654086.1938368026
117,1602128886,2683993.7664974956
118,1602207799,2669601.0574062467
119,1602285767,2673165.8221333437
120,1602362758,2727689.1017652317
121,1602438507,2736993.494377394
122,1602514868,2752904.8528682715
123,1602591028,2752431.1580386185
124,1602667223,2762199.0929954024
125,1602743125,2775786.8020055504
126,1602819261,2763340.1425525057
127,1602895451,2741597.392916588
128,1602972126,2734421.514667855
129,1603048576,2735157.208798144
130,1603124805,2739133.3591966564
131,1603200757,2715741.1090357373
132,1603277436,2704015.6807673774
133,1603353831,2789513.7661277778
134,1603429842,2860515.587893699
135,1603506701,2898364.669487468
136,1603581863,2869698.8270738297
137,1603659382,2868801.72650786
138,1603736191,2849657.732359091
139,1603811537,2947632.493428966
140,1603888222,2918704.3149661645
141,1603964631,2921656.4695912697
142,1604040890,2869462.724050643
143,1604117288,2817893.8288455084
144,1604193573,2813171.4410641864
145,1604270077,2839530.603342108
146,1604346831,2890707.6598354965
147,1604423765,2936466.6932436936
148,1604500268,2715406.6613548268
149,1604576099,2791539.4767689537
150,1604651529,2815841.6690755994
151,1604728036,2959681.2202670025
152,1604804929,2996088.388212446
153,1604881020,3009198.779246172
154,1604957814,2944360.8937114794
155,1605034636,2927119.0241420553
156,1605110410,2961249.594122097
157,1605187933,2992702.7613013424
158,1605263226,2927423.2054212955
159,1605340204,2990500.6235648687
160,1605415797,2999365.5805468177
161,1605491691,2980385.040654008
162,1605568672,2996986.2470684294
163,1605644727,3070907.0319703715
164,1605721908,3025760.208174432
165,1605797900,2977169.4014971736
166,1605874114,3040757.4627749994
167,1605950327,3051106.604013717
168,1606026508,3135169.055275425
169,1606103657,3175252.7278481424
170,1606180546,3280865.0454064975
171,1606255848,3199190.6605693647
172,1606332845,3197554.140869635
173,1606409516,3218676.086156021
174,1606485886,3193342.474928152
175,1606562987,3238512.4515074342
176,1606637807,3234694.203207767
177,1606715003,3262820.2541027684
178,1606790575,3275479.164364686
